Time resolution is 1 ps
[4958000 ns] sample #950: -32745(0x8017). 
[4983000 ns] sample #955: -32521(0x80f7). 
[5008000 ns] sample #960: -31470(0x8512). 
[5033000 ns] sample #965: -29706(0x8bf6). 
[5058000 ns] sample #970: -27133(0x9603). 
[5083000 ns] sample #975: -24007(0xa239). 
[5108000 ns] sample #980: -20159(0xb141). 
[5133000 ns] sample #985: -15800(0xc248). 
[5158000 ns] sample #990: -11228(0xd424). 
[5183000 ns] sample #995: -6195(0xe7cd). 
[5200000 ns] test 1 finished 1000 cycles. 
[5200000 ns] DDS disabled. 
[5208000 ns] sample #1000: -1206(0xfb4a). 
[5700000 ns] test 2: setting freq_word to 214748365 (target 10mhz, actual 10.000 mhz). 
[5700000 ns] DDS enabled. 
[5733000 ns] sample #1005: 31113(0x7989). 
[5758000 ns] sample #1010: 10278(0x2826). 
[5783000 ns] sample #1015: -31113(0x8677). 
[5808000 ns] sample #1020: -10278(0xd7da). 
[5833000 ns] sample #1025: 31113(0x7989). 
[5858000 ns] sample #1030: 10278(0x2826). 
[5883000 ns] sample #1035: -31113(0x8677). 
[5908000 ns] sample #1040: -10278(0xd7da). 
[5933000 ns] sample #1045: 31113(0x7989). 
[5958000 ns] sample #1050: 10278(0x2826). 
[5983000 ns] sample #1055: -31113(0x8677). 
[6008000 ns] sample #1060: -10278(0xd7da). 
[6033000 ns] sample #1065: 31113(0x7989). 
[6058000 ns] sample #1070: 10278(0x2826). 
[6083000 ns] sample #1075: -31113(0x8677). 
[6108000 ns] sample #1080: -10278(0xd7da). 
[6133000 ns] sample #1085: 31113(0x7989). 
[6158000 ns] sample #1090: 10278(0x2826). 
[6183000 ns] sample #1095: -31113(0x8677). 
[6208000 ns] sample #1100: -10278(0xd7da). 
[6233000 ns] sample #1105: 31113(0x7989). 
[6258000 ns] sample #1110: 10278(0x2826). 
[6283000 ns] sample #1115: -31113(0x8677). 
[6308000 ns] sample #1120: -10278(0xd7da). 
[6333000 ns] sample #1125: 31113(0x7989). 
[6358000 ns] sample #1130: 10278(0x2826). 
[6383000 ns] sample #1135: -31113(0x8677). 
[6408000 ns] sample #1140: -10278(0xd7da). 
[6433000 ns] sample #1145: 31113(0x7989). 
[6458000 ns] sample #1150: 10278(0x2826). 
[6483000 ns] sample #1155: -31113(0x8677). 
[6508000 ns] sample #1160: -10278(0xd7da). 
[6533000 ns] sample #1165: 31113(0x7989). 
[6558000 ns] sample #1170: 10278(0x2826). 
[6583000 ns] sample #1175: -31113(0x8677). 
[6608000 ns] sample #1180: -10278(0xd7da). 
[6633000 ns] sample #1185: 31113(0x7989). 
[6658000 ns] sample #1190: 10278(0x2826). 
[6683000 ns] sample #1195: -31113(0x8677). 
[6708000 ns] sample #1200: -10278(0xd7da). 
[6733000 ns] sample #1205: 31113(0x7989). 
[6758000 ns] sample #1210: 10278(0x2826). 
[6783000 ns] sample #1215: -31113(0x8677). 
[6808000 ns] sample #1220: -10278(0xd7da). 
[6833000 ns] sample #1225: 31113(0x7989). 
[6858000 ns] sample #1230: 10278(0x2826). 
[6883000 ns] sample #1235: -31113(0x8677). 
[6908000 ns] sample #1240: -10278(0xd7da). 
[6933000 ns] sample #1245: 31113(0x7989). 
[6958000 ns] sample #1250: 10278(0x2826). 
[6983000 ns] sample #1255: -31113(0x8677). 
[7008000 ns] sample #1260: -10278(0xd7da). 
[7033000 ns] sample #1265: 31113(0x7989). 
[7058000 ns] sample #1270: 10278(0x2826). 
[7083000 ns] sample #1275: -31113(0x8677). 
[7108000 ns] sample #1280: -10278(0xd7da). 
[7133000 ns] sample #1285: 31113(0x7989). 
[7158000 ns] sample #1290: 10278(0x2826). 
[7183000 ns] sample #1295: -31113(0x8677). 
[7208000 ns] sample #1300: -10278(0xd7da). 
[7233000 ns] sample #1305: 31113(0x7989). 
